ICD 10 CODE,DESCRIPTION,GROUP,
P91.3,Neonatal cerebral irritability,ABNORMAL SENSORIUM IN THE NEWBORN,
P91.4,Neonatal cerebral depression,ABNORMAL SENSORIUM IN THE NEWBORN,
P91.6,Hypoxic ischaemic encephalopathy of newborn,ABNORMAL SENSORIUM IN THE NEWBORN,
P91.8,Other specified disturbances of cerebral status of newborn,ABNORMAL SENSORIUM IN THE NEWBORN,
P91.9,"Disturbance of cerebral status of newborn, unspecified",ABNORMAL SENSORIUM IN THE NEWBORN,
J36,Peritonsillar abscess; Abscess of tonsil; Peritonsillar cellulitis; Quinsy,ABSCESS OF RESPIRATORY TRACT,
J38.7,Other diseases of larynx; Abscess of larynx; Cellulitis of larynx; Disease NOS of larynx; Necrosis of larynx; Pachyderma of larynx; Perichondritis of larynx; Ulcer of larynx,ABSCESS OF RESPIRATORY TRACT,
J39.0,Retropharyngeal and parapharyngeal abscess; Peripharyngeal abscess,ABSCESS OF RESPIRATORY TRACT,
J39.1,Other abscess of pharynx; Cellulitis of pharynx; Nasopharyngeal abscess,ABSCESS OF RESPIRATORY TRACT,
J39.2,Other diseases of pharynx; Cyst of pharynx or nasopharynx; Oedema of pharynx or nasopharynx,ABSCESS OF RESPIRATORY TRACT,
J85.1,Abscess of lung with pneumonia,ABSCESS OF RESPIRATORY TRACT,
J85.2,Abscess of lung without pneumonia; Abscess of lung NOS,ABSCESS OF RESPIRATORY TRACT,
J85.3,Abscess of mediastinum,ABSCESS OF RESPIRATORY TRACT,
J86.0,Pyothorax with fistula,ABSCESS OF RESPIRATORY TRACT,
J86.9,Pyothorax without fistula; Abscess of pleura; Abscess of thorax; Empyema; Pyopneumothorax,ABSCESS OF RESPIRATORY TRACT,
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",ACUTE GASTROENTERITIS,
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",ACUTE GASTROENTERITIS,
A00.9,"Cholera, unspecified",ACUTE GASTROENTERITIS,
A03.0,Shigellosis due to Shigella dysenteriae; Group A shigellosis [Shiga-Kruse dysentery],ACUTE GASTROENTERITIS,
A03.1,Shigellosis due to Shigella flexneri;Group B shigellosis,ACUTE GASTROENTERITIS,
A03.2,Shigellosis due to Shigella boydii; Group C shigellosis ,ACUTE GASTROENTERITIS,
A03.3,Shigellosis due to Shigella sonnei; Group D shigellosis,ACUTE GASTROENTERITIS,
A03.8,Other shigellosis,ACUTE GASTROENTERITIS,
A03.9,"Shigellosis, unspecified; ; Bacillary dysentery NOS",ACUTE GASTROENTERITIS,
A04.0,Enteropathogenic Escherichia coli infection,ACUTE GASTROENTERITIS,
A04.1,Enterotoxigenic Escherichia coli infection,ACUTE GASTROENTERITIS,
A04.2,Enteroinvasive Escherichia coli infection,ACUTE GASTROENTERITIS,
A04.3,Enterohaemorrhagic Escherichia coli infection,ACUTE GASTROENTERITIS,
A04.4,Other intestinal Escherichia coli infections,ACUTE GASTROENTERITIS,
A04.5,Campylobacter enteritis,ACUTE GASTROENTERITIS,
A04.6,Enteritis due to Yersinia enterocolitica,ACUTE GASTROENTERITIS,
A04.7,Enterocolitis due to Clostridium difficile; Foodborne intoxication by Clostridium difficile; Pseudomembranous colitis,ACUTE GASTROENTERITIS,
A04.8,Other specified bacterial intestinal infections,ACUTE GASTROENTERITIS,
A04.9,"Bacterial intestinal infection, unspecified. Bacterial enteritis NOS",ACUTE GASTROENTERITIS,
A05.0,Foodborne staphylococcal intoxication,ACUTE GASTROENTERITIS,
A05.2,"Foodborne Clostridium perfringens [Clostridium welchii] intoxication. Enteritis necroticans.  
Pig-bel",ACUTE GASTROENTERITIS,
A05.3,Foodborne Vibrio parahaemolyticus intoxication,ACUTE GASTROENTERITIS,
A05.4,Foodborne Bacillus cereus intoxication,ACUTE GASTROENTERITIS,
A05.8,Other specified bacterial foodborne intoxications,ACUTE GASTROENTERITIS,
A05.9,"Bacterial foodborne intoxication, unspecified",ACUTE GASTROENTERITIS,
A07.0,Balantidiasis; Balantidial dysentery,ACUTE GASTROENTERITIS,
A07.1,Giardiasis [lambliasis],ACUTE GASTROENTERITIS,
A07.2,Cryptosporidiosis,ACUTE GASTROENTERITIS,
A07.3,Isosporiasis; Infection due to Isospora belli and Isospora hominis; Intestinal coccidiosis; Isosporosis,ACUTE GASTROENTERITIS,
A07.8,Other specified protozoal intestinal diseases; Intestinal trichomoniasis; Sarcocystosis; Sarcosporidiosis,ACUTE GASTROENTERITIS,
A07.9,"Protozoal intestinal disease, unspecified;Flagellate diarrhoea; Protozoal colitis;  Protozoal diarrhoea; Protozoal dysentery",ACUTE GASTROENTERITIS,
A08.0,Rotaviral enteritis,ACUTE GASTROENTERITIS,
A08.1,Acute gastroenteropathy due to Norovirus; Noroviral enteritis; Small round structured virus enteritis,ACUTE GASTROENTERITIS,
A08.2,Adenoviral enteritis,ACUTE GASTROENTERITIS,
A08.3,Other viral enteritis,ACUTE GASTROENTERITIS,
A08.4,"Viral intestinal infection, unspecified; Viral enteritis NOS;  Viral gastroenteritis NOS; Viral gastroenteropathy NOS",ACUTE GASTROENTERITIS,
A08.5,Other specified intestinal infections,ACUTE GASTROENTERITIS,
A09.0,"Infectious diarrhea
Infectious diarrhea with no dehydration 
Other and unspecified gastroenteritis and colitis of infectious origin",ACUTE GASTROENTERITIS,
A09.9,Gastroenteritis and colitis of unspecified origin; Neonatal diarrhoea NOS,ACUTE GASTROENTERITIS,
