CODE,DIAGNOSIS,ACR group,ICD 10 Chapter Number,ICD 10 chapter description,ICD 10 block,NOTES
A00.0,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE; CLASSICAL CHOLERA ",ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A00.1,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR; CHOLERA ELTOR ",ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A00.9,"CHOLERA, UNSPECIFIED",ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A00+G53.1*,MULTIPLE CRANIAL NERVE PALSIES IN CHOLERA ,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A00+G94.0*,HYDROCEPHALUS IN CHOLERA ,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0,TYPHOID FEVER; INFECTION DUE TO SALMONELLA TYPHI; ENTERIC FEVER,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+ J17.0*,PNEUMONIA IN TYPHOID FEVER,PNEUMONIA MODERATE  RISK,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,2
A01.0+G01*,MENINGITIS IN TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+I39.0*,MITRAL VALVE INVOLVEMENT IN TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+I39.1*,AORTIC VALVE INVOLVEMENT IN TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+I39.2*,TRICUSPID VALVE INVOLVEMENT IN TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+I39.3*,PULMONARY VALVE INVOLVEMENT IN TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+I39.4*,MULTIPLE VALVE INVOLVEMENT IN TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+I39.8*,"ENDOCARDITIS, VALVE UNSPECIFIED, IN TYPHOID FEVER",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+J17.0*,PNEUMONIA DUE TO TYPHOID FEVER,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.30*,"ARTHRITIS IN TYPHOID, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.31*,"ARTHRITIS IN TYPHOID, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.32*,"ARTHRITIS IN TYPHOID, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.33*,"ARTHRITIS IN TYPHOID, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.34*,"ARTHRITIS IN TYPHOID, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.35*,"ARTHRITIS IN TYPHOID, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.36*,"ARTHRITIS IN TYPHOID, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.37*,"ARTHRITIS IN TYPHOID, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.38*,"ARTHRITIS IN TYPHOID, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.0+M01.39*,"ARTHRITIS IN TYPHOID, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1,PARATYPHOID FEVER A,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.30*,"ARTHRITIS IN PARATYPHOID A, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.31*,"ARTHRITIS IN PARATYPHOID A, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.32*,"ARTHRITIS IN PARATYPHOID A, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.33*,"ARTHRITIS IN PARATYPHOID A, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.34*,"ARTHRITIS IN PARATYPHOID A, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.35*,"ARTHRITIS IN PARATYPHOID A, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.36*,"ARTHRITIS IN PARATYPHOID A, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.37*,"ARTHRITIS IN PARATYPHOID A, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.38*,"ARTHRITIS IN PARATYPHOID A, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.1+M01.39*,"ARTHRITIS IN PARATYPHOID A, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2,PARATYPHOID FEVER B,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.30*,"ARTHRITIS IN PARATYPHOID B, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.31*,"ARTHRITIS IN PARATYPHOID B, SHOULDER REGION (CLAVICLE, SCAPULB, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.32*,"ARTHRITIS IN PARATYPHOID B, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.33*,"ARTHRITIS IN PARATYPHOID B, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.34*,"ARTHRITIS IN PARATYPHOID B, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.35*,"ARTHRITIS IN PARATYPHOID B, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.36*,"ARTHRITIS IN PARATYPHOID B, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.37*,"ARTHRITIS IN PARATYPHOID B, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.38*,"ARTHRITIS IN PARATYPHOID B, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.2+M01.39*,"ARTHRITIS IN PARATYPHOID B, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3,PARATYPHOID FEVER C,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.30*,"ARTHRITIS IN PARATYPHOID C, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.31*,"ARTHRITIS IN PARATYPHOID C, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.32*,"ARTHRITIS IN PARATYPHOID C, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.33*,"ARTHRITIS IN PARATYPHOID C, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.34*,"ARTHRITIS IN PARATYPHOID C, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.35*,"ARTHRITIS IN PARATYPHOID C, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.36*,"ARTHRITIS IN PARATYPHOID C, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.37*,"ARTHRITIS IN PARATYPHOID C, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.38*,"ARTHRITIS IN PARATYPHOID C, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.3+M01.39*,"ARTHRITIS IN PARATYPHOID C, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4,"PARATYPHOID FEVER, UNSPECIFIED; INFECTION DUE TO SALMONELLA PARATYPHI NOS ",TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.30*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.31*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.32*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.33*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.34*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.35*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.36*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.37*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.38*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01.4+M01.39*,"ARTHRITIS IN UNSPECIFIED PARATYPHOID, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+G53.1*,MULTIPLE CRANIAL NERVE PALSIES IN TYPHOID AND PARATYPHOID FEVERS,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+G94.0*,HYDROCEPHALUS IN TYPHOID AND PARATYPHOID FEVERS,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.20*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.21*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, OCCIPITO-ATLANTO-AXIAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.22*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, CERVICAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.23*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, CERVICOTHORACIC REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.24*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, THORACIC REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.25*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, THORACOLUMBAR REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.26*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, LUMBAR REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.27*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, LUMBOSACRAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.28*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, SACRAL AND SACROCOCCYGEAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A01+M49.29*,"ENTEROBACTERIAL SPONDYLITIS IN TYPHOID AND PARATYPHOID FEVER, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.0,SALMONELLA ENTERITIS; SALMONELLOSIS,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.1,SALMONELLA SEPTICAEMIA,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2,LOCALIZED SALMONELLA INFECTIONS,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,2
A02.2+ J17.0*,PNEUMONIA IN SALMONELLA INFECTION,PNEUMONIA MODERATE  RISK,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,2
A02.2+G01*,LOCALIZED SALMONELLA MENINGITIS; MENINGITIS IN SALMONELLA INFECTION,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+J17.0*,LOCALIZED SALMONELLA PNEUMONIA; PNEUMONIA DUE TO SALMONELLA INFECTION,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.30*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.31*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.32*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.33*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.34*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.35*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.36*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.37*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.38*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M01.39*,"ARTHRITIS IN LOCALIZED SALMONELLA INFECTION, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.20*,"SALMONELLA OSTEOMYELITIS, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.21*,"SALMONELLA OSTEOMYELITIS, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.22*,"SALMONELLA OSTEOMYELITIS, UPPER ARM ( HUMERUS, ELBOW JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.23*,"SALMONELLA OSTEOMYELITIS, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.24*,"SALMONELLA OSTEOMYELITIS, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.25*,"SALMONELLA OSTEOMYELITIS, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.26*,"SALMONELLA OSTEOMYELITIS, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.27*,"SALMONELLA OSTEOMYELITIS, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.28*,"SALMONELLA OSTEOMYELITIS, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+M90.29*,"SALMONELLA OSTEOMYELITIS, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.2+N16.0*,LOCALIZED SALMONELLA RENAL TUBULO-INTERSTITIAL DISEASE; RENAL TUBULO-INTERSTITIAL DISORDERS IN SALMONELLA INFECTION,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.8,OTHER SPECIFIED SALMONELLA INFECTIONS,TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02.9,"SALMONELLA INFECTION, UNSPECIFIED",TYPHOID FEVER,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+G53.1*,MULTIPLE CRANIAL NERVE PALSIES IN SALMONELLA INFECTIONS,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+G94.0*,HYDROCEPHALUS IN SALMONELLA INFECTIONS,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.20*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
